era,base,A,A,A
BC,4,1,1,2
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
AD,4,1,1,1
BC,4,1,1,1
AD,4,1,1,1
AD,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
AD,4,1,1,2
AD,4,1,1,1
AD,4,1,1,1
BC,4,1,1,1
AD,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,2
AD,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
AD,1,1,1,1
AD,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
AD,4,1,1,1
AD,4,1,1,1
AD,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
AD,4,1,1,1
AD,4,1,1,1
BC,4,1,1,1
AD,4,1,1,1
AD,4,1,1,1
BC,4,1,1,1
AD,4,1,1,1
AD,4,1,1,1
AD,4,1,2,1
BC,4,1,1,1
BC,4,1,1,1
AD,4,1,1,1
BC,4,1,1,1
AD,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
BC,4,1,1,1
AD,4,1,1,1
AD,4,1,1,1
AD,4,1,1,1
AD,4,1,1,1
AD,4,1,1,1
AD,4,1,1,1
AD,4,1,1,1
AD,4,1,1,1
