era,base,A,B
BC,2,4,1
AD,3,4,1
AD,2,4,1
AD,2,4,1
BC,2,4,1
AD,2,4,1
AD,4,2,2
AD,4,3,1
BC,2,4,1
BC,2,4,1
BC,2,4,1
AD,2,4,2
BC,2,4,1
BC,2,4,1
BC,4,3,1
BC,2,4,1
BC,3,4,1
AD,2,4,1
AD,2,4,1
BC,2,4,1
BC,2,4,1
AD,3,4,1
BC,2,4,1
BC,2,4,1
AD,3,4,1
BC,2,4,1
BC,2,2,4
AD,3,4,1
BC,3,4,2
BC,2,4,1
BC,2,4,1
BC,2,3,4
BC,2,4,1
BC,3,4,1
BC,1,4,1
BC,1,4,1
BC,1,4,1
BC,2,4,1
BC,1,4,1
BC,1,4,1
BC,2,4,1
BC,2,4,1
AD,4,3,1
AD,1,4,1
AD,2,4,1
AD,3,4,1
AD,4,3,2
AD,2,4,1
AD,1,4,1
AD,4,3,1
AD,2,4,1
AD,3,4,3
AD,4,3,1
AD,2,4,1
AD,2,4,3
AD,4,3,1
AD,2,4,1
AD,4,2,2
AD,2,4,1
AD,2,4,2
