era,base,A,A,A
BC,4,3,1,1
BC,4,3,1,1
AD,1,4,1,1
AD,4,3,1,1
AD,1,1,4,1
AD,4,3,1,1
AD,4,3,1,1
AD,2,2,4,1
AD,2,4,3,1
AD,2,4,1,1
AD,2,4,1,1
AD,4,3,1,1
AD,3,4,1,1
AD,3,4,1,1
AD,4,3,0,0
AD,1,3,4,1
AD,4,3,1,1
BC,3,4,1,1
AD,1,1,4,1
AD,1,1,4,1
BC,4,3,1,1
AD,3,4,1,1
AD,1,1,4,1
BC,1,3,1,4
AD,1,1,4,1
BC,3,4,1,1
BC,3,4,1,1
AD,1,1,4,1
AD,1,1,4,1
AD,1,1,4,1
AD,1,1,4,1
BC,1,4,1,1
AD,4,3,1,1
AD,2,4,1,1
AD,4,3,1,1
AD,1,1,4,1
AD,1,1,4,1
AD,3,4,1,1
BC,3,4,1,1
BC,4,3,1,1
BC,4,1,1,1
BC,4,3,1,1
BC,4,3,1,1
BC,4,3,1,1
BC,4,3,1,1
BC,4,3,1,1
BC,1,4,1,1
BC,4,3,1,1
BC,4,4,1,1
BC,3,4,1,1
BC,1,4,1,1
BC,4,3,1,1
BC,4,3,1,1
BC,4,3,1,1
BC,4,3,1,1
BC,4,3,1,1
BC,4,3,1,1
BC,1,1,4,1
BC,4,3,1,1
BC,1,4,1,1
